month_to_take_fromEnvData	dayofsampling	Month	year	Site	File_info	databace	env_factor	Year	variable	value
Feb_Spring_2015	18	Feb	2015	PFN	./TerraClimate_ppt_2015.nc	./TerraClimate	ppt	2015	Feb_Spring	21.2
Feb_Spring_2015	18	Feb	2015	K69	./TerraClimate_vpd_2015.nc	./TerraClimate	vpd	2015	Feb_Spring	0.14
Feb_Spring_2015	18	Feb	2015	ERG	./TerraClimate_ppt_2015.nc	./TerraClimate	ppt	2015	Feb_Spring	30.3
Feb_Spring_2015	18	Feb	2015	EY	./TerraClimate_PDSI_2015.nc	./TerraClimate	PDSI	2015	Feb_Spring	1.66
Feb_Spring_2015	18	Feb	2015	WH	./TerraClimate_soil_2015.nc	./TerraClimate	soil	2015	Feb_Spring	61.4
Feb_Spring_2015	18	Feb	2015	JUG	./TerraClimate_vpd_2015.nc	./TerraClimate	vpd	2015	Feb_Spring	0.14
Feb_Spring_2015	18	Feb	2015	EY	./TerraClimate_soil_2015.nc	./TerraClimate	soil	2015	Feb_Spring	58.5
Feb_Spring_2015	18	Feb	2015	WH	./TerraClimate_ppt_2015.nc	./TerraClimate	ppt	2015	Feb_Spring	24.3
Feb_Spring_2015	18	Feb	2015	WH	./TerraClimate_q_2015.nc	./TerraClimate	q	2015	Feb_Spring	12.7
Feb_Spring_2015	18	Feb	2015	JUG	./TerraClimate_srad_2015.nc	./TerraClimate	srad	2015	Feb_Spring	78.7962949398767
Feb_Spring_2015	18	Feb	2015	JUG	./TerraClimate_def_2015.nc	./TerraClimate	def	2015	Feb_Spring	0
Feb_Spring_2015	18	Feb	2015	EY	./TerraClimate_q_2015.nc	./TerraClimate	q	2015	Feb_Spring	11.8
Feb_Spring_2015	18	Feb	2015	EY	./TerraClimate_aet_2015.nc	./TerraClimate	aet	2015	Feb_Spring	2.8
Feb_Spring_2015	18	Feb	2015	WH	./TerraClimate_aet_2015.nc	./TerraClimate	aet	2015	Feb_Spring	6.7
Feb_Spring_2015	18	Feb	2015	ERG	./TerraClimate_soil_2015.nc	./TerraClimate	soil	2015	Feb_Spring	59.8
Feb_Spring_2015	18	Feb	2015	WH	./TerraClimate_srad_2015.nc	./TerraClimate	srad	2015	Feb_Spring	78.2013291216505
Feb_Spring_2015	18	Feb	2015	EY	./TerraClimate_vap_2015.nc	./TerraClimate	vap	2015	Feb_Spring	0.515
Feb_Spring_2015	18	Feb	2015	WH	./TerraClimate_vap_2015.nc	./TerraClimate	vap	2015	Feb_Spring	0.527
Feb_Spring_2015	18	Feb	2015	K69	./TerraClimate_def_2015.nc	./TerraClimate	def	2015	Feb_Spring	0
Feb_Spring_2015	18	Feb	2015	K69	./TerraClimate_tmin_2015.nc	./TerraClimate	tmin	2015	Feb_Spring	-2.87
Feb_Spring_2015	18	Feb	2015	ERG	./TerraClimate_q_2015.nc	./TerraClimate	q	2015	Feb_Spring	12
Feb_Spring_2015	18	Feb	2015	JUG	./TerraClimate_aet_2015.nc	./TerraClimate	aet	2015	Feb_Spring	6.2
Feb_Spring_2015	18	Feb	2015	K69	./TerraClimate_aet_2015.nc	./TerraClimate	aet	2015	Feb_Spring	5.4
Feb_Spring_2015	18	Feb	2015	PFN	./TerraClimate_def_2015.nc	./TerraClimate	def	2015	Feb_Spring	0
Feb_Spring_2015	18	Feb	2015	K69	./TerraClimate_vap_2015.nc	./TerraClimate	vap	2015	Feb_Spring	0.515
Feb_Spring_2015	18	Feb	2015	EY	./TerraClimate_srad_2015.nc	./TerraClimate	srad	2015	Feb_Spring	78.9022477568211
Feb_Spring_2015	18	Feb	2015	JUG	./TerraClimate_swe_2015.nc	./TerraClimate	swe	2015	Feb_Spring	14.7
Feb_Spring_2015	18	Feb	2015	WH	./TerraClimate_PDSI_2015.nc	./TerraClimate	PDSI	2015	Feb_Spring	1.78
Feb_Spring_2015	18	Feb	2015	PFN	./TerraClimate_soil_2015.nc	./TerraClimate	soil	2015	Feb_Spring	61.8
Feb_Spring_2015	18	Feb	2015	PFN	./TerraClimate_swe_2015.nc	./TerraClimate	swe	2015	Feb_Spring	18.4
Feb_Spring_2015	18	Feb	2015	JUG	./TerraClimate_pet_2015.nc	./TerraClimate	pet	2015	Feb_Spring	6.2
Feb_Spring_2015	18	Feb	2015	K69	./TerraClimate_pet_2015.nc	./TerraClimate	pet	2015	Feb_Spring	5.4
Feb_Spring_2015	18	Feb	2015	PFN	./TerraClimate_pet_2015.nc	./TerraClimate	pet	2015	Feb_Spring	5.4
Feb_Spring_2015	18	Feb	2015	EY	./TerraClimate_swe_2015.nc	./TerraClimate	swe	2015	Feb_Spring	46.6
Feb_Spring_2015	18	Feb	2015	ERG	./TerraClimate_pet_2015.nc	./TerraClimate	pet	2015	Feb_Spring	3
Feb_Spring_2015	18	Feb	2015	EY	./TerraClimate_pet_2015.nc	./TerraClimate	pet	2015	Feb_Spring	2.8
Feb_Spring_2015	18	Feb	2015	ERG	./TerraClimate_aet_2015.nc	./TerraClimate	aet	2015	Feb_Spring	3
Feb_Spring_2015	18	Feb	2015	ERG	./TerraClimate_PDSI_2015.nc	./TerraClimate	PDSI	2015	Feb_Spring	1.69
Feb_Spring_2015	18	Feb	2015	PFN	./TerraClimate_tmax_2015.nc	./TerraClimate	tmax	2015	Feb_Spring	3.91
Feb_Spring_2015	18	Feb	2015	JUG	./TerraClimate_ppt_2015.nc	./TerraClimate	ppt	2015	Feb_Spring	20.1
Feb_Spring_2015	18	Feb	2015	K69	./TerraClimate_ppt_2015.nc	./TerraClimate	ppt	2015	Feb_Spring	21.2
Feb_Spring_2015	18	Feb	2015	WH	./TerraClimate_tmax_2015.nc	./TerraClimate	tmax	2015	Feb_Spring	4.19
Feb_Spring_2015	18	Feb	2015	EY	./TerraClimate_ppt_2015.nc	./TerraClimate	ppt	2015	Feb_Spring	31.7
Feb_Spring_2015	18	Feb	2015	ERG	./TerraClimate_vap_2015.nc	./TerraClimate	vap	2015	Feb_Spring	0.512
Feb_Spring_2015	18	Feb	2015	JUG	./TerraClimate_q_2015.nc	./TerraClimate	q	2015	Feb_Spring	8.3
Feb_Spring_2015	18	Feb	2015	K69	./TerraClimate_q_2015.nc	./TerraClimate	q	2015	Feb_Spring	8.7
Feb_Spring_2015	18	Feb	2015	PFN	./TerraClimate_q_2015.nc	./TerraClimate	q	2015	Feb_Spring	8.7
Feb_Spring_2015	18	Feb	2015	WH	./TerraClimate_tmin_2015.nc	./TerraClimate	tmin	2015	Feb_Spring	-2.65
Feb_Spring_2015	18	Feb	2015	EY	./TerraClimate_def_2015.nc	./TerraClimate	def	2015	Feb_Spring	0
Feb_Spring_2015	18	Feb	2015	WH	./TerraClimate_def_2015.nc	./TerraClimate	def	2015	Feb_Spring	0
Feb_Spring_2015	18	Feb	2015	PFN	./TerraClimate_aet_2015.nc	./TerraClimate	aet	2015	Feb_Spring	5.4
Feb_Spring_2015	18	Feb	2015	JUG	./TerraClimate_vap_2015.nc	./TerraClimate	vap	2015	Feb_Spring	0.518
Feb_Spring_2015	18	Feb	2015	WH	./TerraClimate_vpd_2015.nc	./TerraClimate	vpd	2015	Feb_Spring	0.14
Feb_Spring_2015	18	Feb	2015	JUG	./TerraClimate_soil_2015.nc	./TerraClimate	soil	2015	Feb_Spring	61.2
Feb_Spring_2015	18	Feb	2015	K69	./TerraClimate_soil_2015.nc	./TerraClimate	soil	2015	Feb_Spring	61.8
Feb_Spring_2015	18	Feb	2015	PFN	./TerraClimate_vap_2015.nc	./TerraClimate	vap	2015	Feb_Spring	0.515
Feb_Spring_2015	18	Feb	2015	K69	./TerraClimate_swe_2015.nc	./TerraClimate	swe	2015	Feb_Spring	18.4
Feb_Spring_2015	18	Feb	2015	PFN	./TerraClimate_ws_2015.nc	./TerraClimate	ws	2015	Feb_Spring	2.17
Feb_Spring_2015	18	Feb	2015	ERG	./TerraClimate_ws_2015.nc	./TerraClimate	ws	2015	Feb_Spring	2.17
Feb_Spring_2015	18	Feb	2015	ERG	./TerraClimate_swe_2015.nc	./TerraClimate	swe	2015	Feb_Spring	44.1
Feb_Spring_2015	18	Feb	2015	ERG	./TerraClimate_def_2015.nc	./TerraClimate	def	2015	Feb_Spring	0
Feb_Spring_2015	18	Feb	2015	WH	./TerraClimate_ws_2015.nc	./TerraClimate	ws	2015	Feb_Spring	2.04
Feb_Spring_2015	18	Feb	2015	JUG	./TerraClimate_tmax_2015.nc	./TerraClimate	tmax	2015	Feb_Spring	4.07
Feb_Spring_2015	18	Feb	2015	ERG	./TerraClimate_srad_2015.nc	./TerraClimate	srad	2015	Feb_Spring	78.600689739364
Feb_Spring_2015	18	Feb	2015	PFN	./TerraClimate_PDSI_2015.nc	./TerraClimate	PDSI	2015	Feb_Spring	1.7
Feb_Spring_2015	18	Feb	2015	JUG	./TerraClimate_PDSI_2015.nc	./TerraClimate	PDSI	2015	Feb_Spring	1.75
Feb_Spring_2015	18	Feb	2015	K69	./TerraClimate_PDSI_2015.nc	./TerraClimate	PDSI	2015	Feb_Spring	1.7
Feb_Spring_2015	18	Feb	2015	JUG	./TerraClimate_ws_2015.nc	./TerraClimate	ws	2015	Feb_Spring	2.09
Feb_Spring_2015	18	Feb	2015	K69	./TerraClimate_ws_2015.nc	./TerraClimate	ws	2015	Feb_Spring	2.17
Feb_Spring_2015	18	Feb	2015	JUG	./TerraClimate_tmin_2015.nc	./TerraClimate	tmin	2015	Feb_Spring	-2.73
Feb_Spring_2015	18	Feb	2015	EY	./TerraClimate_tmin_2015.nc	./TerraClimate	tmin	2015	Feb_Spring	-3.55
Feb_Spring_2015	18	Feb	2015	EY	./TerraClimate_vpd_2015.nc	./TerraClimate	vpd	2015	Feb_Spring	0.11
Feb_Spring_2015	18	Feb	2015	PFN	./TerraClimate_tmin_2015.nc	./TerraClimate	tmin	2015	Feb_Spring	-2.87
Feb_Spring_2015	18	Feb	2015	EY	./TerraClimate_ws_2015.nc	./TerraClimate	ws	2015	Feb_Spring	2.17
Feb_Spring_2015	18	Feb	2015	PFN	./TerraClimate_vpd_2015.nc	./TerraClimate	vpd	2015	Feb_Spring	0.14
Feb_Spring_2015	18	Feb	2015	WH	./TerraClimate_pet_2015.nc	./TerraClimate	pet	2015	Feb_Spring	6.7
Feb_Spring_2015	18	Feb	2015	K69	./TerraClimate_tmax_2015.nc	./TerraClimate	tmax	2015	Feb_Spring	3.91
Feb_Spring_2015	18	Feb	2015	ERG	./TerraClimate_tmax_2015.nc	./TerraClimate	tmax	2015	Feb_Spring	3.47
Feb_Spring_2015	18	Feb	2015	ERG	./TerraClimate_vpd_2015.nc	./TerraClimate	vpd	2015	Feb_Spring	0.12
Feb_Spring_2015	18	Feb	2015	EY	./TerraClimate_tmax_2015.nc	./TerraClimate	tmax	2015	Feb_Spring	3.44
Feb_Spring_2015	18	Feb	2015	ERG	./TerraClimate_tmin_2015.nc	./TerraClimate	tmin	2015	Feb_Spring	-3.44
Feb_Spring_2015	18	Feb	2015	K69	./TerraClimate_srad_2015.nc	./TerraClimate	srad	2015	Feb_Spring	78.9022477568211
Feb_Spring_2015	18	Feb	2015	PFN	./TerraClimate_srad_2015.nc	./TerraClimate	srad	2015	Feb_Spring	78.9022477568211
Feb_Spring_2015	18	Feb	2015	WH	./TerraClimate_swe_2015.nc	./TerraClimate	swe	2015	Feb_Spring	17.4
Mar_Spring_2014	2	apr	2014	EY	./TerraClimate_aet_2014.nc	./TerraClimate	aet	2014	Mar_Spring	37.9
Mar_Spring_2014	2	apr	2014	K69	./TerraClimate_aet_2014.nc	./TerraClimate	aet	2014	Mar_Spring	38.2
Mar_Spring_2014	2	apr	2014	PFN	./TerraClimate_tmax_2014.nc	./TerraClimate	tmax	2014	Mar_Spring	13.22
Mar_Spring_2014	2	apr	2014	JUG	./TerraClimate_ppt_2014.nc	./TerraClimate	ppt	2014	Mar_Spring	13.5
Mar_Spring_2014	2	apr	2014	WH	./TerraClimate_vap_2014.nc	./TerraClimate	vap	2014	Mar_Spring	0.696
Mar_Spring_2014	2	apr	2014	WH	./TerraClimate_soil_2014.nc	./TerraClimate	soil	2014	Mar_Spring	36.1
Mar_Spring_2014	2	apr	2014	K69	./TerraClimate_ppt_2014.nc	./TerraClimate	ppt	2014	Mar_Spring	14
Mar_Spring_2014	2	apr	2014	WH	./TerraClimate_vpd_2014.nc	./TerraClimate	vpd	2014	Mar_Spring	0.46
Mar_Spring_2014	2	apr	2014	PFN	./TerraClimate_aet_2014.nc	./TerraClimate	aet	2014	Mar_Spring	38.2
Mar_Spring_2014	2	apr	2014	K69	./TerraClimate_tmax_2014.nc	./TerraClimate	tmax	2014	Mar_Spring	13.22
Mar_Spring_2014	2	apr	2014	PFN	./TerraClimate_ppt_2014.nc	./TerraClimate	ppt	2014	Mar_Spring	14
Mar_Spring_2014	2	apr	2014	ERG	./TerraClimate_ppt_2014.nc	./TerraClimate	ppt	2014	Mar_Spring	16
Mar_Spring_2014	2	apr	2014	JUG	./TerraClimate_srad_2014.nc	./TerraClimate	srad	2014	Mar_Spring	145.900457791613
Mar_Spring_2014	2	apr	2014	WH	./TerraClimate_PDSI_2014.nc	./TerraClimate	PDSI	2014	Mar_Spring	-1.9
Mar_Spring_2014	2	apr	2014	EY	./TerraClimate_ws_2014.nc	./TerraClimate	ws	2014	Mar_Spring	2.12
Mar_Spring_2014	2	apr	2014	ERG	./TerraClimate_def_2014.nc	./TerraClimate	def	2014	Mar_Spring	13.6
Mar_Spring_2014	2	apr	2014	PFN	./TerraClimate_PDSI_2014.nc	./TerraClimate	PDSI	2014	Mar_Spring	-2.01
Mar_Spring_2014	2	apr	2014	ERG	./TerraClimate_tmin_2014.nc	./TerraClimate	tmin	2014	Mar_Spring	1.76
Mar_Spring_2014	2	apr	2014	PFN	./TerraClimate_tmin_2014.nc	./TerraClimate	tmin	2014	Mar_Spring	2.22
Mar_Spring_2014	2	apr	2014	JUG	./TerraClimate_ws_2014.nc	./TerraClimate	ws	2014	Mar_Spring	2.08
Mar_Spring_2014	2	apr	2014	WH	./TerraClimate_pet_2014.nc	./TerraClimate	pet	2014	Mar_Spring	53.4
Mar_Spring_2014	2	apr	2014	EY	./TerraClimate_pet_2014.nc	./TerraClimate	pet	2014	Mar_Spring	51.1
Mar_Spring_2014	2	apr	2014	JUG	./TerraClimate_aet_2014.nc	./TerraClimate	aet	2014	Mar_Spring	38.1
Mar_Spring_2014	2	apr	2014	ERG	./TerraClimate_vap_2014.nc	./TerraClimate	vap	2014	Mar_Spring	0.676
Mar_Spring_2014	2	apr	2014	EY	./TerraClimate_vap_2014.nc	./TerraClimate	vap	2014	Mar_Spring	0.684
Mar_Spring_2014	2	apr	2014	EY	./TerraClimate_tmax_2014.nc	./TerraClimate	tmax	2014	Mar_Spring	12.76
Mar_Spring_2014	2	apr	2014	EY	./TerraClimate_soil_2014.nc	./TerraClimate	soil	2014	Mar_Spring	35.7
Mar_Spring_2014	2	apr	2014	WH	./TerraClimate_ppt_2014.nc	./TerraClimate	ppt	2014	Mar_Spring	14
Mar_Spring_2014	2	apr	2014	WH	./TerraClimate_ws_2014.nc	./TerraClimate	ws	2014	Mar_Spring	2.01
Mar_Spring_2014	2	apr	2014	EY	./TerraClimate_swe_2014.nc	./TerraClimate	swe	2014	Mar_Spring	0
Mar_Spring_2014	2	apr	2014	JUG	./TerraClimate_vap_2014.nc	./TerraClimate	vap	2014	Mar_Spring	0.697
Mar_Spring_2014	2	apr	2014	JUG	./TerraClimate_tmax_2014.nc	./TerraClimate	tmax	2014	Mar_Spring	13.47
Mar_Spring_2014	2	apr	2014	WH	./TerraClimate_def_2014.nc	./TerraClimate	def	2014	Mar_Spring	14.7
Mar_Spring_2014	2	apr	2014	EY	./TerraClimate_vpd_2014.nc	./TerraClimate	vpd	2014	Mar_Spring	0.4
Mar_Spring_2014	2	apr	2014	WH	./TerraClimate_tmin_2014.nc	./TerraClimate	tmin	2014	Mar_Spring	2.58
Mar_Spring_2014	2	apr	2014	K69	./TerraClimate_q_2014.nc	./TerraClimate	q	2014	Mar_Spring	0.7
Mar_Spring_2014	2	apr	2014	K69	./TerraClimate_vap_2014.nc	./TerraClimate	vap	2014	Mar_Spring	0.691
Mar_Spring_2014	2	apr	2014	ERG	./TerraClimate_tmax_2014.nc	./TerraClimate	tmax	2014	Mar_Spring	12.99
Mar_Spring_2014	2	apr	2014	JUG	./TerraClimate_soil_2014.nc	./TerraClimate	soil	2014	Mar_Spring	36
Mar_Spring_2014	2	apr	2014	WH	./TerraClimate_aet_2014.nc	./TerraClimate	aet	2014	Mar_Spring	38.7
Mar_Spring_2014	2	apr	2014	JUG	./TerraClimate_vpd_2014.nc	./TerraClimate	vpd	2014	Mar_Spring	0.44
Mar_Spring_2014	2	apr	2014	JUG	./TerraClimate_def_2014.nc	./TerraClimate	def	2014	Mar_Spring	14.7
Mar_Spring_2014	2	apr	2014	K69	./TerraClimate_def_2014.nc	./TerraClimate	def	2014	Mar_Spring	14.5
Mar_Spring_2014	2	apr	2014	ERG	./TerraClimate_swe_2014.nc	./TerraClimate	swe	2014	Mar_Spring	0
