Sampiling_Years,Sampling_Months,Sampling_Seasons,Sampling_Sites,EnvironmentalFactors_ShortNames,EnvironmentalFactors_FullNames,EnvironmentalFactors_Values,EnvironmentalFactors_Unites
2014,April,Spring,WH,aet,Actual Evapotranspiration(monthly total),38.7,mm
2014,April,Spring,EY,aet,Actual Evapotranspiration(monthly total),37.9,mm
2014,April,Spring,K69,aet,Actual Evapotranspiration(monthly total),38.2,mm
2014,April,Spring,ERG,aet,Actual Evapotranspiration(monthly total),38.8,mm
2014,April,Spring,PFN,aet,Actual Evapotranspiration(monthly total),38.2,mm
2014,April,Spring,JUG,aet,Actual Evapotranspiration(monthly total),38.1,mm
2014,April,Spring,WH,def,Climate Water Deficit(monthly total),14.7,mm
2014,April,Spring,K69,def,Climate Water Deficit(monthly total),14.5,mm
2014,April,Spring,JUG,def,Climate Water Deficit(monthly total),14.7,mm
2014,April,Spring,PFN,def,Climate Water Deficit(monthly total),14.5,mm
2014,April,Spring,ERG,def,Climate Water Deficit(monthly total),13.6,mm
2014,April,Spring,EY,def,Climate Water Deficit(monthly total),13.2,mm
2014,April,Spring,EY,PDSI,Palmer Drought Severity Index(at end of month),-1.87,unitless
2014,April,Spring,WH,PDSI,Palmer Drought Severity Index(at end of month),-1.9,unitless
2014,April,Spring,ERG,PDSI,Palmer Drought Severity Index(at end of month),-1.9,unitless
2014,April,Spring,PFN,PDSI,Palmer Drought Severity Index(at end of month),-2.01,unitless
2014,April,Spring,K69,PDSI,Palmer Drought Severity Index(at end of month),-2.01,unitless
2014,April,Spring,JUG,PDSI,Palmer Drought Severity Index(at end of month),-2,unitless
2014,April,Spring,JUG,pet,Potential Evapotranspiration(monthly total),52.8,mm
2014,April,Spring,ERG,pet,Potential Evapotranspiration(monthly total),52.4,mm
2014,April,Spring,WH,pet,Potential Evapotranspiration(monthly total),53.4,mm
2014,April,Spring,EY,pet,Potential Evapotranspiration(monthly total),51.1,mm
2014,April,Spring,K69,pet,Potential Evapotranspiration(monthly total),52.7,mm
2014,April,Spring,PFN,pet,Potential Evapotranspiration(monthly total),52.7,mm
2014,April,Spring,K69,ppt,Precipitation(monthly total),14,mm
2014,April,Spring,ERG,ppt,Precipitation(monthly total),16,mm
2014,April,Spring,EY,ppt,Precipitation(monthly total),15.8,mm
2014,April,Spring,WH,ppt,Precipitation(monthly total),14,mm
2014,April,Spring,PFN,ppt,Precipitation(monthly total),14,mm
2014,April,Spring,JUG,ppt,Precipitation(monthly total),13.5,mm
2014,April,Spring,JUG,q,Runoff(monthly total),0.7,mm
2014,April,Spring,ERG,q,Runoff(monthly total),0.8,mm
2014,April,Spring,EY,q,Runoff(monthly total),0.8,mm
2014,April,Spring,WH,q,Runoff(monthly total),0.7,mm
2014,April,Spring,K69,q,Runoff(monthly total),0.7,mm
2014,April,Spring,PFN,q,Runoff(monthly total),0.7,mm
2014,April,Spring,ERG,soil,Soil Moisture(total column - at end of month),36.3,mm
2014,April,Spring,JUG,soil,Soil Moisture(total column - at end of month),36,mm
2014,April,Spring,WH,soil,Soil Moisture(total column - at end of month),36.1,mm
2014,April,Spring,PFN,soil,Soil Moisture(total column - at end of month),36.9,mm
2014,April,Spring,K69,soil,Soil Moisture(total column - at end of month),36.9,mm
2014,April,Spring,EY,soil,Soil Moisture(total column - at end of month),35.7,mm
2014,April,Spring,JUG,srad,Downward Surface Shortwave Radiation,145.9004578,W/m2
2014,April,Spring,WH,srad,Downward Surface Shortwave Radiation,146.4033922,W/m2
2014,April,Spring,ERG,srad,Downward Surface Shortwave Radiation,147.5988921,W/m2
2014,April,Spring,K69,srad,Downward Surface Shortwave Radiation,146.6012681,W/m2
2014,April,Spring,PFN,srad,Downward Surface Shortwave Radiation,146.6012681,W/m2
2014,April,Spring,EY,srad,Downward Surface Shortwave Radiation,147.9039507,W/m2
2014,April,Spring,EY,swe,Snow Water Equivalent(at end of month),0,mm
2014,April,Spring,PFN,swe,Snow Water Equivalent(at end of month),0,mm
2014,April,Spring,JUG,swe,Snow Water Equivalent(at end of month),0,mm
2014,April,Spring,WH,swe,Snow Water Equivalent(at end of month),0,mm
2014,April,Spring,K69,swe,Snow Water Equivalent(at end of month),0,mm
2014,April,Spring,ERG,swe,Snow Water Equivalent(at end of month),0,mm
2014,April,Spring,ERG,tmax,Max Temperature(average for month),12.99,C
2014,April,Spring,JUG,tmax,Max Temperature(average for month),13.47,C
2014,April,Spring,EY,tmax,Max Temperature(average for month),12.76,C
2014,April,Spring,WH,tmax,Max Temperature(average for month),13.74,C
2014,April,Spring,K69,tmax,Max Temperature(average for month),13.22,C
2014,April,Spring,PFN,tmax,Max Temperature(average for month),13.22,C
2014,April,Spring,JUG,tmin,Min Temperature(average for month),2.47,C
2014,April,Spring,EY,tmin,Min Temperature(average for month),1.64,C
2014,April,Spring,WH,tmin,Min Temperature(average for month),2.58,C
2014,April,Spring,K69,tmin,Min Temperature(average for month),2.22,C
2014,April,Spring,PFN,tmin,Min Temperature(average for month),2.22,C
2014,April,Spring,ERG,tmin,Min Temperature(average for month),1.76,C
2014,April,Spring,JUG,vap,Vapor Pressure(average for month),0.697,kPa
